column,topic,polarity,human_label,keep,drop_reason
hs_regulations_too_harsh,regulations,negative,Regulations are too harsh,true,
hs_conspiracy_nonbeliever,conspiracy_theories,negative,Conspiracy theory nonbeliever,false,vague worldview
hs_conspiracy_believer,conspiracy_theories,positive,Conspiracy theory believer,false,vague worldview
hs_dei_support,dei,positive,DEI support,true,
hs_dei_oppose,dei,negative,DEI opposition,true,
hs_voting_fraud_concern_oppression,voting_fraud,positive,Concerned about voter oppression,true,
hs_voting_fraud_concern_fraud,voting_fraud,positive,Concerned about voter fraud,true,
hs_violent_crime_very_worried,violent_crime,positive,Very worried about violent crime,true,
hs_violent_crime_not_worried,violent_crime,negative,Not worried about violent crime,true,
hs_united_healthcare_no_fault,united_healthcare,negative,United Healthcare not at fault,false,too narrow
hs_united_healthcare_at_fault,united_healthcare,positive,United Healthcare at fault,false,too narrow
hs_trust_science_always,trust_science,positive,Always trusts science,false,vague worldview
hs_trust_science_rarely,trust_science,negative,Rarely trusts science,false,vague worldview
hs_trans_athlete_yes,trans_athletes,positive,Trans athletes allowed,true,
hs_trans_athlete_no,trans_athletes,negative,Trans athletes not allowed,true,
hs_teachers_union_positive,teachers_union,positive,Teachers union positive view,true,
hs_teachers_union_negative,teachers_union,negative,Teachers union negative view,true,
hs_tax_cuts_support,tax_cuts,positive,Tax cuts support,true,
hs_tax_cuts_oppose,tax_cuts,negative,Tax cuts opposition,true,
hs_social_security_tax_increase_support,social_security_tax,positive,Social Security tax increase support,true,
hs_social_security_tax_increase_oppose,social_security_tax,negative,Social Security tax increase opposition,true,
hs_social_media_truth_vs_speech_truth,social_media_speech,positive,Social media should prioritize truth,true,
hs_social_media_truth_vs_speech_free_speech,social_media_speech,negative,Social media should prioritize free speech,true,
hs_sell_federal_lands_support,sell_federal_lands,positive,Sell federal lands support,true,
hs_sell_federal_lands_oppose,sell_federal_lands,negative,Sell federal lands opposition,true,
hs_school_funding_more,school_funding,positive,More school funding,true,
hs_school_funding_less,school_funding,negative,Less school funding,true,
hs_school_choice_support,school_choice,positive,School choice support,true,
hs_school_choice_oppose,school_choice,negative,School choice opposition,true,
hs_same_sex_marriage_support,same_sex_marriage,positive,Same-sex marriage support,true,
hs_same_sex_marriage_oppose,same_sex_marriage,negative,Same-sex marriage opposition,true,
hs_religion_not_important,religion_importance,negative,Religion not important,false,demographic correlate
hs_religion_important,religion_importance,positive,Religion important,false,demographic correlate
hs_redistricting_state_leg,redistricting,negative,Redistricting by state legislature,true,
hs_redistricting_indep_com,redistricting,positive,Redistricting by independent commission,true,
hs_regulations_good,regulations,positive,Regulations are good,true,
hs_rank_choice_voting_support,ranked_choice_voting,positive,Ranked-choice voting support,true,
hs_rank_choice_voting_oppose,ranked_choice_voting,negative,Ranked-choice voting opposition,true,
hs_public_transit_support,public_transit,positive,Public transit support,true,
hs_public_transit_oppose,public_transit,negative,Public transit opposition,true,
hs_stadium_public_financing_approve,stadium_public_financing,positive,Stadium public financing approval,false,niche local issue
hs_stadium_public_financing_disapprove,stadium_public_financing,negative,Stadium public financing disapproval,false,niche local issue
hs_police_trust_yes,police_trust,positive,Trusts police,true,
hs_police_trust_no,police_trust,negative,Distrusts police,true,
hs_pipeline_fracking_support,pipeline_fracking,positive,Pipeline/fracking support,true,
hs_pipeline_fracking_oppose,pipeline_fracking,negative,Pipeline/fracking opposition,true,
hs_opioid_crisis_treat,opioid_crisis,positive,Opioid crisis treatment approach,true,
hs_opioid_crisis_enforce,opioid_crisis,negative,Opioid crisis enforcement approach,true,
hs_online_gambling_more_legal,online_gambling,positive,More legal online gambling,false,niche topic
hs_online_gambling_less_legal,online_gambling,negative,Less legal online gambling,false,niche topic
hs_obamacare_aca_protect,obamacare_aca,positive,ACA protect,true,
hs_obamacare_aca_oppose,obamacare_aca,negative,ACA opposition,true,
hs_obamacare_aca_expand,obamacare_aca,positive,ACA expand,false,duplicate framing
hs_most_important_policy_keep_safe,priority_safety,neutral,Top priority: keep safe,true,
hs_most_important_policy_item_religious_values,priority_religious_values,neutral,Top priority: religious values,true,
hs_most_important_policy_item_environment,priority_environment,neutral,Top priority: environment,true,
hs_most_important_policy_item_help_people,priority_help_people,neutral,Top priority: help people,true,
hs_most_important_policy_item_economics,priority_economics,neutral,Top priority: economics,true,
hs_min_wage_15_increase_support,minimum_wage,positive,$15 minimum wage support,true,
hs_min_wage_15_increase_oppose,minimum_wage,negative,$15 minimum wage opposition,true,
hs_mexican_wall_support,border_wall,positive,Border wall support,true,
hs_mexican_wall_oppose,border_wall,negative,Border wall opposition,true,
hs_medicare_for_all_support,medicare_for_all,positive,Medicare for All support,true,
hs_medicare_for_all_oppose,medicare_for_all,negative,Medicare for All opposition,true,
hs_medicaid_expansion_support,medicaid_expansion,positive,Medicaid expansion support,true,
hs_medicaid_expansion_oppose,medicaid_expansion,negative,Medicaid expansion opposition,true,
hs_mass_deporations_oppose,mass_deportations,negative,Mass deportations opposition,true,
hs_mass_deporations_support,mass_deportations,positive,Mass deportations support,true,
hs_marijuana_legal_support,marijuana_legalization,positive,Marijuana legalization support,true,
hs_marijuana_legal_oppose,marijuana_legalization,negative,Marijuana legalization opposition,true,
hs_jobs_guarantee_support,jobs_guarantee,positive,Jobs guarantee support,false,too narrow
hs_jobs_guarantee_oppose,jobs_guarantee,negative,Jobs guarantee opposition,false,too narrow
hs_jan_6th_pardons_oppose,jan_6_pardons,negative,Jan 6 pardons opposition,true,
hs_jan_6th_pardons_support,jan_6_pardons,positive,Jan 6 pardons support,true,
hs_israel_military_actions_support,israel_military,positive,Israel military actions support,true,
hs_israel_military_actions_oppose,israel_military,negative,Israel military actions opposition,true,
hs_israel_military_actions_gop_support,israel_military,positive,Israel military actions support (GOP),false,duplicate framing
hs_israel_military_actions_gop_oppose,israel_military,negative,Israel military actions opposition (GOP),false,duplicate framing
hs_israel_military_actions_dem_support,israel_military,positive,Israel military actions support (Dem),false,duplicate framing
hs_israel_military_actions_dem_oppose,israel_military,negative,Israel military actions opposition (Dem),false,duplicate framing
hs_insurance_of_last_resort_government_should_not_provide,insurance_last_resort,negative,Government should not provide insurance of last resort,false,too narrow
hs_insurance_of_last_resort_government_should_provide,insurance_last_resort,positive,Government should provide insurance of last resort,false,too narrow
hs_infrastructure_funding_fund_more,infrastructure_funding,positive,Fund infrastructure more,true,
hs_infrastructure_funding_enough_spent,infrastructure_funding,negative,Enough spent on infrastructure,true,
hs_inflation_fault_trump,inflation_blame,neutral,Inflation is Trump's fault,false,blame attribution not policy
hs_inflation_fault_external_events,inflation_blame,neutral,Inflation due to external events,false,blame attribution not policy
hs_inflation_fault_corporate_america,inflation_blame,neutral,Inflation is corporate America's fault,false,blame attribution not policy
hs_inflation_fault_biden,inflation_blame,neutral,Inflation is Biden's fault,false,blame attribution not policy
hs_income_inequality_serious,income_inequality,positive,Income inequality is serious,true,
hs_income_inequality_no_issue,income_inequality,negative,Income inequality is no issue,true,
hs_immigration_undesirable,immigration,negative,Immigration is undesirable,true,
hs_immigration_process_unfair,immigration,positive,Immigration process is unfair,true,
hs_gun_control_support,gun_control,positive,Gun control support,true,
hs_gun_control_oppose,gun_control,negative,Gun control opposition,true,
hs_green_new_deal_support,green_new_deal,positive,Green New Deal support,true,
hs_green_new_deal_oppose,green_new_deal,negative,Green New Deal opposition,true,
hs_gig_work_make_employees,gig_work_classification,positive,Gig workers should be employees,false,too narrow
hs_gig_work_keep_contractor,gig_work_classification,negative,Gig workers should stay contractors,false,too narrow
hs_gentrification_support,gentrification,positive,Gentrification support,false,ambiguous framing
hs_gentrification_oppose,gentrification,negative,Gentrification opposition,false,ambiguous framing
hs_general_anti_vax_pro_vax,vaccines,positive,Pro-vaccine,true,
hs_gas_tax_support,gas_tax,positive,Gas tax support,true,
hs_gas_tax_oppose,gas_tax,negative,Gas tax opposition,true,
hs_felon_voting_support,felon_voting,positive,Felon voting rights support,true,
hs_felon_voting_oppose,felon_voting,negative,Felon voting rights opposition,true,
hs_family_medical_leave_support,family_medical_leave,positive,Family medical leave support,true,
hs_family_medical_leave_oppose,family_medical_leave,negative,Family medical leave opposition,true,
hs_econ_anxiety_very_worried,economic_anxiety,positive,Very worried about economy,true,
hs_econ_anxiety_not_worried,economic_anxiety,negative,Not worried about economy,true,
hs_state_level_fema_support,state_level_fema,positive,State-level FEMA support,false,too narrow
hs_state_level_fema_oppose,state_level_fema,negative,State-level FEMA opposition,false,too narrow
hs_doge_support,doge,positive,DOGE support,false,fringe topic
hs_doge_oppose,doge,negative,DOGE opposition,false,fringe topic
hs_defense_spending_reduce,defense_spending,negative,Reduce defense spending,true,
hs_defense_spending_increase,defense_spending,positive,Increase defense spending,true,
hs_death_penalty_support,death_penalty,positive,Death penalty support,true,
hs_death_penalty_oppose,death_penalty,negative,Death penalty opposition,true,
hs_crypto_reduce_leave_as_is,crypto_regulation,neutral,Leave crypto regulation as is,false,niche topic
hs_crypto_reduce_restrictions,crypto_regulation,negative,Reduce crypto restrictions,false,niche topic
hs_crypto_increase_restrictions,crypto_regulation,positive,Increase crypto restrictions,false,niche topic
hs_critical_race_theory_books_do_not_ban,crt_book_bans,negative,Do not ban CRT books,true,
hs_critical_race_theory_books_ban,crt_book_bans,positive,Ban CRT books,true,
hs_community_college_free_support,free_community_college,positive,Free community college support,true,
hs_community_college_free_oppose,free_community_college,negative,Free community college opposition,true,
hs_college_admissions_do_not_consider_race,college_admissions_race,negative,Do not consider race in college admissions,true,
hs_college_admissions_consider_race,college_admissions_race,positive,Consider race in college admissions,true,
hs_climate_change_nonbeliever,climate_change,negative,Climate change nonbeliever,true,
hs_climate_change_believer,climate_change,positive,Climate change believer,true,
hs_civil_liberties_support,civil_liberties,positive,Civil liberties support,false,vague worldview
hs_civil_liberties_oppose,civil_liberties,negative,Civil liberties opposition,false,vague worldview
hs_china_foreign_policy_work_with,china_foreign_policy,negative,Work with China,true,
hs_china_foreign_policy_advesarial,china_foreign_policy,positive,Adversarial with China,true,
hs_charter_schools_support,charter_schools,positive,Charter schools support,true,
hs_charter_schools_oppose,charter_schools,negative,Charter schools opposition,true,
hs_casino_oppose,casino,negative,Casino opposition,true,
hs_casino_support,casino,positive,Casino support,true,
hs_capitalism_believe_sound,capitalism,positive,Capitalism is sound,false,vague worldview
hs_capitalism_believe_flawed,capitalism,negative,Capitalism is flawed,false,vague worldview
hs_autonomous_vehicles_do_not_allow,autonomous_vehicles,negative,Do not allow autonomous vehicles,false,emerging tech not campaigned on
hs_autonomous_vehicles_allow,autonomous_vehicles,positive,Allow autonomous vehicles,false,emerging tech not campaigned on
hs_unions_not_beneficial,unions,negative,Unions not beneficial,true,
hs_unions_beneficial,unions,positive,Unions beneficial,true,
hs_amazon_good_jobs,amazon,positive,Amazon provides good jobs,false,too narrow
hs_amazon_exploitative,amazon,negative,Amazon is exploitative,false,too narrow
hs_artificial_intelligence_excited,artificial_intelligence,positive,Excited about AI,false,emerging tech not campaigned on
hs_aliens_governenment_hiding_much,aliens_disclosure,positive,Government hiding much about aliens,false,fringe topic
hs_aliens_governenment_disclosed_all,aliens_disclosure,negative,Government disclosed all about aliens,false,fringe topic
hs_age_limit_oppose,age_limits,negative,Age limits opposition,true,
hs_age_limit_support,age_limits,positive,Age limits support,true,
hs_age_limit_oppose_dem,age_limits,negative,Age limits opposition (Dem),false,duplicate framing
hs_age_limit_support_dem,age_limits,positive,Age limits support (Dem),false,duplicate framing
hs_affordable_housing_gov_no_role,affordable_housing,negative,Government has no role in affordable housing,true,
hs_affordable_housing_gov_has_role,affordable_housing,positive,Government has role in affordable housing,true,
hs_abortion_pro_life,abortion,negative,Abortion pro-life,true,
hs_abortion_pro_choice,abortion,positive,Abortion pro-choice,true,
